"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"440","D01131","PERFURACAO 26"" COM ALARGADOR 31"""
"441","P100160","PERFURACAO 26"" COM ALARGADOR 34"""
"442","P100150","PERFURACAO 26"" COM ALARGADOR 36"""
"443","D01130","PERFURACAO 26"" COM ALARGADOR 36"""
"444","P100130","PERFURACAO 26"" COM ALARGADOR 42"""
"445","P100200","PERFURACAO 28"""
"446","P100120","PERFURACAO 28"" COM ALARGADOR 42"""
"447","P100170","PERFURACAO 30"""
"448","P100140","PERFURACAO 36"""
"449","P100110","PERFURACAO 36"" COM ALARGADOR 42"""
"450","D01120","PERFURACAO 36""/REV 30"""
"451","D01126","PERFURACAO 36""/REV 30"""
"452","P100100","PERFURACAO 42"""
"453","E01104","PERFURACAO 42""/REV 36"""
"454","P100800","PERFURACAO 5 7/8"""
"455","P100780","PERFURACAO 6 1/8"""
"456","P100708","PERFURACAO 6 1/8"""
"457","P100790","PERFURACAO 6"""
"458","P100700","PERFURACAO 8 1/2"""
"459","D01600","PERFURACAO 8 1/2"""
"460","D01600-A","PERFURACAO 8 1/2"""
"461","D01670","PERFURACAO 8 1/2"""
"462","P01600","PERFURACAO 8 1/2"""
"463","P100660","PERFURACAO 8 1/2"" COM ALARGADOR 12 1/4"""
"464","P100680","PERFURACAO 8 1/2"" COM ALARGADOR 9 1/2"""
"465","D01603","PERFURACAO 8 1/2"" COM ALARGADOR 9 1/2"""
"466","P100675","PERFURACAO 8 1/2"" COM ALARGADOR 9 1/2"" PILOTO"
"467","P100670","PERFURACAO 8 1/2"" COM ALARGADOR 9 7/8"""
"468","P100690","PERFURACAO 8 1/2"" COM ALARGADOR 9"""
"469","D01602","PERFURACAO 8 1/2"" COM ALARGADOR 9"""
"470","P100760","PERFURACAO 8 1/2"" COM TESTEMUNHAGEM"
"471","P100750","PERFURACAO 8 1/2"" FINAL"
"472","P100700PF","PERFURACAO 8 1/2"" FINAL"
"473","D01600PF","PERFURACAO 8 1/2"" FINAL"
"474","P100730","PERFURACAO 8 1/2"" HORIZONTAL"
"475","D01600H","PERFURACAO 8 1/2"" HORIZONTAL"
"476","P100740","PERFURACAO 8 1/2"" INTERMEDIARIA"
"477","P100700PI","PERFURACAO 8 1/2"" INTERMEDIARIA"
"478","P100710","PERFURACAO 8 1/2"" PILOTO"
"479","P100770","PERFURACAO 8 1/2"" PILOTO COM TESTEMUNHAGEM"
"480","P100720","PERFURACAO 8 1/2"" PILOTO FINAL"
"481","P100630","PERFURACAO 8 3/4"""
"482","P100620","PERFURACAO 8 3/4"" COM ALARGADOR 12 1/4"""
"483","P100650","PERFURACAO 8 3/4"" FINAL"
"484","P100640","PERFURACAO 8 3/4"" INTERMEDIARIA"
"485","P100635","PERFURACAO 8 3/4"" PILOTO"
"486","P100580","PERFURACAO 9 1/2"""
"487","D01620","PERFURACAO 9 1/2"""
"488","D01610","PERFURACAO 9 1/2"""
"489","P100570","PERFURACAO 9 1/2"" COM ALARGADOR 10 5/8"""
"490","P100565","PERFURACAO 9 1/2"" COM ALARGADOR 11 3/4"""
"491","P100560","PERFURACAO 9 1/2"" COM ALARGADOR 12 1/4"""
"492","D01627","PERFURACAO 9 1/2"" COM ALARGADOR 12 1/4"""
"493","P100590","PERFURACAO 9 1/2"" HORIZONTAL"
"494","D01622","PERFURACAO 9 1/2"" HORIZONTAL"
"495","P100600","PERFURACAO 9"""
"496","P100618","PERFURACAO 9"" COM TESTEMUNHAGEM 8 1/2"""
"497","P100615","PERFURACAO 9"" FINAL"
"498","P100610","PERFURACAO 9"" INTERMEDIARIA"
"499","P100860","PERFURACAO DESVIO 12 1/4"""
"500","D01510D","PERFURACAO DESVIO 12 1/4"""
"501","D01510D20","PERFURACAO DESVIO 12 1/4"""
"502","P100470D","PERFURACAO DESVIO 12 1/4"""
"503","D01510D10","PERFURACAO DESVIO 12 1/4"" A"
"504","P100850","PERFURACAO DESVIO 12 1/4"" COM ALARGADOR 14 3/4"""
"505","D01520D","PERFURACAO DESVIO 12 1/4"" COM ALARGADOR 14 3/4"""
"506","P100865","PERFURACAO DESVIO 12 1/4"" FINAL"
"507","D01515D","PERFURACAO DESVIO 12 1/4"" FINAL"
"508","P100840","PERFURACAO DESVIO 14 3/4"""
"509","D01500D","PERFURACAO DESVIO 14 3/4"""
"510","P100830","PERFURACAO DESVIO 14 3/4"" COM ALARGADOR 17 1/2"""
"511","P100825","PERFURACAO DESVIO 16 1/2"""
"512","P100820","PERFURACAO DESVIO 16"""
"513","P100810","PERFURACAO DESVIO 17 1/2"""
"514","P100300D","PERFURACAO DESVIO 17 1/2"""
"515","P100211","PERFURACAO DESVIO 26"""
"516","P100890","PERFURACAO DESVIO 8 1/2"""
"517","P100870","PERFURACAO DESVIO 9 1/2"""
"518","D01525D","PERFURACAO DESVIO 9 1/2"""
"519","P100880","PERFURACAO DESVIO 9 1/2"" COM ALARGADOR 11 3/4"""
"520","D01535","PERFURACAO FINAL 12 1/4"""
"521","P100470PI","PERFURACAO INTERMEDIARIA 12 1/4"""
"522","P100470PI B","PERFURACAO INTERMEDIARIA 12 1/4"""
"523","P100470PI A","PERFURACAO INTERMEDIARIA 12 1/4"""
"524","D01605","PERFURACAO PILOTO 8 1/2"""
"525","D01601","PERFURACAO PILOTO 8 1/2"" COM TESTEMUNHAGEM"
"526","D01605PF10","PERFURACAO PILOTO 8 1/2"" FINAL"
"527","S100000","POCO A DEFINIR - DESENVOLVIMENTO"
"528","S100200","POCO A DEFINIR - DP - AVALIACAO"
"529","S100300","POCO A DEFINIR - DP - COMPLETACAO"
"530","S100100","POCO A DEFINIR - DP - PERFURACAO"
"531","S200200","POCO A DEFINIR - EXP - AVALIACAO"
"532","S200300","POCO A DEFINIR - EXP - COMPLETACAO"
"533","S200100","POCO A DEFINIR - EXP - PERFURACAO"
"534","S200000","POCO A DEFINIR - EXPLORATORIO"
"535","R100970","PREVENCAO DE HIDRATO"
"536","R100960","QUEBRA DE HIDRATO"
"537","C100090","RECANHONEIO"
"538","R100700","RECANHONEIO"
"539","D200000","RECEBIMENTO DA SONDA E LICENC. AMBIENTAL"
"540","R100180","RECOMPLETACAO"
"541","REC01050","RECOMPLETACAO - DESEQUIPAR"
"542","REC01060","RECOMPLETACAO - RE-EQUIPAR"
"543","REC01600","RECOMPLETACAO FINAL (DESCIDA DA BAP+DESCIDA DA COP+TH+ANM+TREE CAP)"
"544","R01080","RECUPERACAO DE EQUIPAMENTOS"
"545","R101360","RECUPERACAO DO PACKER DE ABANDONO"
"546","A100410","REENTRADA"
"547","R100000","REENTRADA"
"548","R100010","REENTRADA"
"549","P300710","REENTRADA NO POCO"
"550","C100040","REENTRADA NO POCO"
"551","D03250","REEQUIPAR"
"552","C200100","REGISTRO DE PRESSAO"
"553","R100780","REGISTRO DE PRESSAO"
"554","C200102","REGISTRO DE PRESSAO ALTO DESEMPENHO"
"555","R100782","REGISTRO DE PRESSAO ALTO DESEMPENHO"
"556","R100781","REGISTRO DE PRESSAO CONVENCIONAL"
"557","C200101","REGISTRO DE PRESSAO CONVENCIONAL"
"558","R100980","REMOCAO DA INCRUSTACAO"
"559","R100400","REPARO DA BAP"
"560","C200010","REPARO DA COP"
"561","R100940","REPARO DE DHSV"
"562","O100020","REPARO DO MOBO"
"563","R101160","REPARO NA VGL"
"564","SER0011","REPARO NO MOBO"
"565","R100360","REPARO NO TH"
"566","R100160","RESTABELECIMENTO DA COP"
"567","R100040","RESTAURACAO PROBABILISTICA"
"568","R100115","RETIRADA BRV"
"569","R100280","RETIRADA DA ANC"
"570","R100220","RETIRADA DA ANM"
"571","R100440","RETIRADA DA BAP"
"572","R100500","RETIRADA DA BCS"
"573","R100480","RETIRADA DA BCSS"
"574","R101220","RETIRADA DA CA"
"575","R101200","RETIRADA DA CAUDA"
"576","R100120","RETIRADA DA COP"
"577","R100320","RETIRADA DA TREE CAP"
"578","R100380","RETIRADA DA TRT"
"579","R100472","RETIRADA DE BARREIRAS MECANICAS"
"580","R100093","RETIRADA DE BARREIRAS MECANICAS"
"581","R100198","RETIRADA DE BOP"
"582","C100205","RETIRADA DE CATS"
"583","A100310","RETIRADA DE COLUNA COM DST"
"584","C100931","RETIRADA DE COLUNA COM DST"
"585","R100090","RETIRADA DE PLUG"
"586","D03310","RETIRADA DE PLUG"
"587","R100095","RETIRADA DE PLUG 2"
"588","D03070","RETIRADA DO BOP"
"589","D01541","RETIRADA DO BOP"
"590","P300340","REV/CIM 10 3/4"""
"591","D01560","REV/CIM 10 3/4"""
"592","D01559","REV/CIM 10 3/4"""
"593","P300370","REV/CIM 10 3/4"" E 9 5/8"""
"594","D01570","REV/CIM 10 3/4"" E 9 5/8"""
"595","P300360","REV/CIM 10 3/4"" E 9 7/8"""
"596","P300400","REV/CIM 10 3/4"" E LINER 7"""
"597","P300395","REV/CIM 10 3/4"" E LINER 9 5/8"""
"598","P300390","REV/CIM 10 3/4"" E LINER 9 7/8"""
"599","P300350","REV/CIM 10 3/4"" 9 7/8"" E 9 5/8"""
"600","P300300","REV/CIM 11 3/4"""
"601","D01557","REV/CIM 11 3/4"""
"602","P300320","REV/CIM 11 3/4"" E 13 3/8"""
"603","P300310","REV/CIM 11 3/4"" E 13 5/8"""
"604","P300290","REV/CIM 11 7/8"""
"605","P300292","REV/CIM 11 7/8"" E 9 7/8"""
"606","P300270","REV/CIM 13 3/8"""
"607","D01410","REV/CIM 13 3/8"""
"608","P300250","REV/CIM 13 5/8"""
"609","D01405","REV/CIM 13 5/8"""
"610","P300265","REV/CIM 13 5/8"" E 10 3/4"""
"611","P300260","REV/CIM 13 5/8"" E 13 3/8"""
"612","P300210","REV/CIM 14"""
"613","P300225","REV/CIM 14"" + TIE BACK 13 5/8"""
"614","P300230","REV/CIM 14"" E 13 3/8"""
"615","P300220","REV/CIM 14"" E 13 5/8"""
"616","P300240","REV/CIM 14"" 13 5/8"" E 13 3/8"""
"617","D01413","REV/CIM 14"" 13 5/8"" E 13 3/8"""
"618","P300200","REV/CIM 16"""
"619","D01370","REV/CIM 16"""
"620","P300170","REV/CIM 18"""
"621","P300150","REV/CIM 20"""
"622","D01240","REV/CIM 20"""
"623","P300160","REV/CIM 20"" E 16"""
"624","D01241","REV/CIM 20"" E 16"""
"625","P300155","REV/CIM 20"" E 18"""
"626","P300140","REV/CIM 22"""
"627","P300145","REV/CIM 22"" E 20"""
"628","P300130","REV/CIM 28"""
"629","P300120","REV/CIM 30"""
"630","D01140","REV/CIM 30"""
"631","P300100","REV/CIM 36"""
"632","P300520","REV/CIM 5 1/2"""
"633","P300530","REV/CIM 5"""
"634","P300480","REV/CIM 7"""
"635","P300430","REV/CIM 9 5/8"""
"636","D01550","REV/CIM 9 5/8"""
"637","D01552","REV/CIM 9 5/8"" + TIE BACK"
"638","P300435","REV/CIM 9 5/8"" FINAL"
"639","P300420","REV/CIM 9 7/8"""
"640","P300425","REV/CIM 9 7/8"" + TIE BACK"
"641","P300410","REV/CIM 9 7/8"" E 9 5/8"""
"642","D01568","REV/CIM 9 7/8"" E 9 5/8"""
"643","P300415","REV/CIM 9 7/8"" E 9 5/8"" + TIE BACK"
"644","P300630","REV/CIM DESVIO 10 3/4"""
"645","D01560D","REV/CIM DESVIO 10 3/4"""
"646","P300620","REV/CIM DESVIO 10 3/4"" E 9 5/8"""
"647","D01553D","REV/CIM DESVIO 10 3/4"" E 9 5/8"""
"648","P300570","REV/CIM DESVIO 13 3/8"""
"649","P300580","REV/CIM DESVIO 13 3/8"" E 10 3/4"""
"650","P300560","REV/CIM DESVIO 13 5/8"""
"651","D01416D","REV/CIM DESVIO 13 5/8"""
"652","P300590","REV/CIM DESVIO 13 5/8"" E 10 3/4"""
"653","P300550","REV/CIM DESVIO 14"" E 10 3/4"""
"654","P300650","REV/CIM DESVIO 9 5/8"""
"655","D01550D","REV/CIM DESVIO 9 5/8"""
"656","P300430D","REV/CIM DESVIO 9 5/8"""
"657","P300640","REV/CIM DESVIO LINER 10 3/4"""
"658","D01547D","REV/CIM DESVIO LINER 10 3/4"""
"659","P300610","REV/CIM DESVIO LINER 13 3/8"""
"660","D01545D","REV/CIM DESVIO LINER 13 3/8"""
"661","P300600","REV/CIM DESVIO LINER 13 5/8"" E 10 3/4"""
"662","D01571D","REV/CIM DESVIO LINER 13 5/8"" E 10 3/4"""
"663","P300660","REV/CIM DESVIO LINER 9 5/8"""
"664","D01551D","REV/CIM DESVIO LINER 9 5/8"""
"665","D01569D","REV/CIM DESVIO LINER 9 5/8"""
"666","P300380","REV/CIM LINER 10 3/4"""
"667","P300381","REV/CIM LINER 10 3/4"" + TIE BACK"
"668","P300375","REV/CIM LINER 10 3/4"" E 9 5/8"" + TIE BACK"
"669","P300330","REV/CIM LINER 11 3/4"""
"670","D01555","REV/CIM LINER 11 3/4"""
"671","P300295","REV/CIM LINER 11 7/8"""
"672","P300280","REV/CIM LINER 13 3/8"""
"673","P300255","REV/CIM LINER 13 5/8"""
"674","P300190","REV/CIM LINER 16"""
"675","D01321","REV/CIM LINER 16"""
"676","P300180","REV/CIM LINER 18"""
"677","P300540","REV/CIM LINER 5 1/2"""
"678","P300535","REV/CIM LINER 5"""
"679","P300490","REV/CIM LINER 7 5/8"""
"680","P300510","REV/CIM LINER 7"""
"681","S300140","REV/CIM LINER 7"""
"682","D01650","REV/CIM LINER 7"""
"683","D01660","REV/CIM LINER 7"""
"684","P300500","REV/CIM LINER 7"" PILOTO"
"685","P300470","REV/CIM LINER 9 5/8"""
"686","D01567","REV/CIM LINER 9 5/8"""
"687","P300440","REV/CIM LINER 9 5/8"" + TIE BACK"
"688","P300445","REV/CIM LINER 9 5/8"" + TIE BACK 10 3/4"""
"689","P300460","REV/CIM LINER 9 7/8"""
"690","P300465","REV/CIM LINER 9 7/8"" + TIE BACK"
"691","P300467","REV/CIM LINER 9 7/8"" + TIE BACK 10 3/4"""
"692","P300450","REV/CIM LINER 9 7/8"" E 9 5/8"""
"693","P300455","REV/CIM LINER 9 7/8"" E 9 5/8"" + TIE BACK 10 3/4"""
"694","D01648","REV/CIM PILOTO LINER 8 1/2"""
"695","R101430","TAMPAO DE CIMENTO"
"696","E01755","TCIM E ABANDONO"
"697","C200060","TESTE DE FORMACAO COM VALVULA DE FECHAMENTO DE FUNDO"
"698","R100860","TESTE DE FORMACAO COM VALVULA DE FECHAMENTO DE FUNDO"
"699","C200070","TESTE DE FORMACAO COM VALVULA DE FECHAMENTO DE FUNDO 2"
"700","C200090","TESTE DE INJETIVIDADE"
"701","R100840","TESTE DE INJETIVIDADE"
"702","C200095","TESTE DE INJETIVIDADE 2"
"703","C200091","TESTE DE INJETIVIDADE COM DST CONVENCIONAL"
"704","R100841","TESTE DE INJETIVIDADE COM DST CONVENCIONAL"
"705","C200096","TESTE DE INJETIVIDADE COM DST CONVENCIONAL 2"
"706","C200092","TESTE DE INJETIVIDADE COM DST DE ALTO DESEMPENHO"
"707","R100842","TESTE DE INJETIVIDADE COM DST DE ALTO DESEMPENHO"
"708","C200097","TESTE DE INJETIVIDADE COM DST DE ALTO DESEMPENHO 2"
"709","C200093","TESTE DE INJETIVIDADE COM DST LARGE BORE"
"710","R100843","TESTE DE INJETIVIDADE COM DST LARGE BORE"
"711","C200098","TESTE DE INJETIVIDADE COM DST LARGE BORE 2"
"712","C200094","TESTE DE INJETIVIDADE SEM DST"
"713","R100844","TESTE DE INJETIVIDADE SEM DST"
"714","C200099","TESTE DE INJETIVIDADE SEM DST 2"
"715","C200080","TESTE DE PRODUCAO"
"716","R100820","TESTE DE PRODUCAO"
"717","A200000","TESTE DST"
"718","C100900","TESTE DST"
"719","D01608","TESTEMUNHAGEM"
"720","P300680","TESTEMUNHAGEM 12 1/4"""
"721","D01515","TESTEMUNHAGEM 12 1/4"""
"722","P300685","TESTEMUNHAGEM 12 1/4"" FINAL"
"723","P300670","TESTEMUNHAGEM 14 3/4"""
"724","D01522","TESTEMUNHAGEM 14 3/4"""
"725","P300690","TESTEMUNHAGEM 8 1/2"""
"726","P300700","TESTEMUNHAGEM 8 1/2"" PILOTO"
"727","D01645","TESTEMUNHAGEM PILOTO 8 1/2"""
"728","A300500","TFR NA 2A ZONA"
"729","A300510","TFR NA 3A ZONA"
"730","R101080","TRATAMENTO QUIMICO"
"731","C300010","TREE CAP"
"732","D03910","TREE CAP"
"733","R100260","TROCA DA ANC"
"734","R100200","TROCA DA ANM"
"735","R100200C","TROCA DA ANM (DESCER)"
"736","R100420","TROCA DA BAP"
"737","R100420A","TROCA DA BAP - CONTINUACAO"
"738","R100560","TROCA DA BCS"
"739","R100540","TROCA DA BCS PROBABILISTICA"
"740","R100580","TROCA DA BCS PROBABILISTICA"
"741","R100520","TROCA DA BCSS"
"742","R100521","TROCA DA BCSS DO MOBO"
"743","R100070","TROCA DA COP"
"744","R100060","TROCA DA COP"
"745","R101180","TROCA DA VGL"
"746","R100340C","TROCA DA VGL - CONTINUACAO"
"747","R100080","TROCA DE ACESSORIOS DA COP"
"748","R100920","TROCA DE DHSV"
"749","R101240","TROCA DE GRAVEL"
"750","O100080","TROCA DE MODULOS DE VALVULAS"
"751","R101000","TROCA DE SLIDING SLEEVES"
"752","P400100","TUBULAO 20"""
"753","R100030","WORKOVER SEM ESCOPO"
"754","LOG_M200050","LOGÍSTICA_ABANDONO"
"755","LOG_C400020","LOGÍSTICA_ABANDONO"
"756","LOG_C400030","LOGÍSTICA_ABANDONO"
"757","LOG_S400020","LOGÍSTICA_ABANDONO"
"758","LOG_C300020","LOGÍSTICA_ABANDONO"
"759","LOG_D03990","LOGÍSTICA_ABANDONO"
"760","LOG_D01020","LOGÍSTICA_ABANDONO"
"761","LOG_D03900","LOGÍSTICA_ABANDONO"
"762","LOG_E01060","LOGÍSTICA_ABANDONO"
"763","LOG_R101400","LOGÍSTICA_ABANDONO DEFINITIVO"
"764","LOG_R1014001010","LOGÍSTICA_ABANDONO DEFINITIVO"
"765","LOG_R02970","LOGÍSTICA_ABANDONO DEFINITIVO (CONTINUACAO)"
"766","LOG_R02960","LOGÍSTICA_ABANDONO DEFINITIVO (INTERROMPIDO)"
"767","LOG_R101401","LOGÍSTICA_ABANDONO DEFINITIVO 2"
"768","LOG_R101405","LOGÍSTICA_ABANDONO DEFINITIVO PROBABILISTICO"
"769","LOG_R101403","LOGÍSTICA_ABANDONO DEFINITIVO SEM ESCOPO"
"770","LOG_P700100","LOGÍSTICA_ABANDONO DO PILOTO"
"771","LOG_D01549","LOGÍSTICA_ABANDONO DO PILOTO"
"772","LOG_P01549","LOGÍSTICA_ABANDONO DO PILOTO"
"773","LOG_D01548","LOGÍSTICA_ABANDONO DO PILOTO / CONDICIONAMENTO E ABANDONO DO PILOTO"
"774","LOG_A100540","LOGÍSTICA_ABANDONO ENTRE ZONAS"
"775","LOG_R101440","LOGÍSTICA_ABANDONO PROVISORIO"
"776","LOG_R101460","LOGÍSTICA_ABANDONO PROVISORIO 2"
"777","LOG_M200000","LOGÍSTICA_ABANDONO TEMPORARIO"
"778","LOG_C400000","LOGÍSTICA_ABANDONO TEMPORARIO"
"779","LOG_R01040","LOGÍSTICA_ABANDONO TEMPORARIO"
"780","LOG_D03980","LOGÍSTICA_ABANDONO TEMPORARIO"
"781","LOG_R1014001015","LOGÍSTICA_ABANDONO TEMPORARIO"
"782","LOG_R02950","LOGÍSTICA_ABANDONO TEMPORARIO"
"783","LOG_SER0016","LOGÍSTICA_ABANDONO TEMPORARIO"
"784","LOG_M200010","LOGÍSTICA_ABANDONO TEMPORARIO 2"
"785","LOG_C400010","LOGÍSTICA_ABANDONO TEMPORARIO 2"
"786","LOG_D03981","LOGÍSTICA_ABANDONO TEMPORARIO 2"
"787","LOG_SER0017","LOGÍSTICA_ABANDONO TEMPORARIO 2"
"788","LOG_M200020","LOGÍSTICA_ABANDONO TEMPORARIO 3"
"789","LOG_C400011","LOGÍSTICA_ABANDONO TEMPORARIO 3"
"790","LOG_M200030","LOGÍSTICA_ABANDONO TEMPORARIO 4"
"791","LOG_M200040","LOGÍSTICA_ABANDONO TEMPORARIO 5"
"792","LOG_R100390","LOGÍSTICA_ABERTURA DA VHIF"
"793","LOG_R101010","LOGÍSTICA_ABERTURA DE SLIDING SLEEVES"
"794","LOG_R100395","LOGÍSTICA_ABERTURA DE VALVULA DE FUNDO COM CABO ELETRICO"
"795","LOG_A100530","LOGÍSTICA_ACIDIFICACAO"
"796","LOG_R101020","LOGÍSTICA_ACIDIFICACAO"
"797","LOG_R101060","LOGÍSTICA_ACIDIFICACAO BULLHEAD"
"798","LOG_R101040","LOGÍSTICA_ACIDIFICACAO COM FLEXITUBO"
"799","LOG_C200110","LOGÍSTICA_ACIDIFICACAO DA FORMACAO"
"800","LOG_C200120","LOGÍSTICA_ACIDIFICACAO DA FORMACAO 2"
"801","LOG_D00100","LOGÍSTICA_AGUARDANDO AHTS"
"802","LOG_P700150","LOGÍSTICA_AGUARDANDO OPERACAO COM SESV"
"803","LOG_C100050","LOGÍSTICA_AGUARDANDO OPERACAO COM SESV"
"804","LOG_R101470","LOGÍSTICA_AGUARDANDO OPERACAO COM SESV"
"805","LOG_C001600","LOGÍSTICA_AGUARDANDO SESV DESCER BAP"
"806","LOG_D01507","LOGÍSTICA_ALARGAMENTO 14 3/4"""
"807","LOG_E01507","LOGÍSTICA_ALARGAMENTO 14 3/4"""
"808","LOG_E01325","LOGÍSTICA_ALARGAMENTO 17 1/2"""
"809","LOG_E01529","LOGÍSTICA_ALARGAMENTO DA TESTEMUNHAGEM"
"810","LOG_R100020","LOGÍSTICA_AMORTECER"
"811","LOG_R100021","LOGÍSTICA_AMORTECER"
"812","LOG_R100025","LOGÍSTICA_AMORTECER 2"
"813","LOG_D01514","LOGÍSTICA_AMOSTRAGEM A CABO"
"814","LOG_C200035","LOGÍSTICA_ANC"
"815","LOG_C300000","LOGÍSTICA_ANM"
"816","LOG_C200040","LOGÍSTICA_ANMH"
"817","LOG_C200030","LOGÍSTICA_ANSH"
"818","LOG_O100110","LOGÍSTICA_APOIO A PLATAFORMA"
"819","LOG_O100115","LOGÍSTICA_APOIO A PLSV"
"820","LOG_O100215","LOGÍSTICA_APOIO A SONDA"
"821","LOG_A100000","LOGÍSTICA_AVALIACAO EXPLORATORIA"
"822","LOG_A100010","LOGÍSTICA_AVALIACAO EXPLORATORIA 2"
"823","LOG_A100020","LOGÍSTICA_AVALIACAO EXPLORATORIA 3"
"824","LOG_A100030","LOGÍSTICA_AVALIACAO EXPLORATORIA COM CAUDA INFERIOR"
"825","LOG_R100075","LOGÍSTICA_AVALIACAO/CORRECAO DA CIMENTACAO"
"826","LOG_P300770","LOGÍSTICA_BASE TORPEDO 30"""
"827","LOG_D01122","LOGÍSTICA_BASE TORPEDO 30"""
"828","LOG_P300775","LOGÍSTICA_BASE TORPEDO 36"""
"829","LOG_A100440","LOGÍSTICA_CANHONEIO"
"830","LOG_R100640","LOGÍSTICA_CANHONEIO A CABO"
"831","LOG_R100660","LOGÍSTICA_CANHONEIO A CABO THRU TUBING"
"832","LOG_R100685","LOGÍSTICA_CANHONEIO FT"
"833","LOG_R100690","LOGÍSTICA_CANHONEIO FT THRU TUBING"
"834","LOG_C100087","LOGÍSTICA_CANHONEIO TCP"
"835","LOG_R100680","LOGÍSTICA_CANHONEIO TCP"
"836","LOG_A100470","LOGÍSTICA_CAUDA INTERMEDIARIA"
"837","LOG_C100130","LOGÍSTICA_CAUDA INTERMEDIARIA"
"838","LOG_R101230","LOGÍSTICA_CHECAGEM DE FUNDO"
"839","LOG_O100140","LOGÍSTICA_CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"840","LOG_O100141","LOGÍSTICA_CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"841","LOG_O100142","LOGÍSTICA_CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"842","LOG_O100143","LOGÍSTICA_CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"843","LOG_O100144","LOGÍSTICA_CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"844","LOG_O100145","LOGÍSTICA_CHECAGEM DO TOPO DO TAMPAO DE SUPERFICIE"
"845","LOG_D03304","LOGÍSTICA_COMISSIONAMENTO DA LINHA DE PRODUCAO"
"846","LOG_A100430","LOGÍSTICA_COMPLETACAO INFERIOR"
"847","LOG_C100100","LOGÍSTICA_COMPLETACAO INFERIOR"
"848","LOG_D01655","LOGÍSTICA_CONDICIONAMENTO"
"849","LOG_P700120","LOGÍSTICA_CONDICIONAMENTO DO POCO"
"850","LOG_P700110","LOGÍSTICA_CONDICIONAMENTO E ABANDONO DO PILOTO"
"851","LOG_O100040","LOGÍSTICA_CONSTRUCAO E MONTAGEM"
"852","LOG_A100420","LOGÍSTICA_CONTENCAO DE AREIA"
"853","LOG_C100060","LOGÍSTICA_CONTENCAO DE AREIA"
"854","LOG_C100080","LOGÍSTICA_CONTENCAO DE AREIA ATE BCS"
"855","LOG_C100085","LOGÍSTICA_CONTENCAO DE AREIA FINAL"
