"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"856","LOG_C100070","LOGÍSTICA_CONTENCAO DE AREIA PILOTO"
"857","LOG_E01998","LOGÍSTICA_CONTINGENCIA"
"858","LOG_C400015","LOGÍSTICA_CONTINGENCIA CPM - COMP"
"859","LOG_P700140","LOGÍSTICA_CONTINGENCIA CPM - PERF"
"860","LOG_D100010","LOGÍSTICA_CONTINGENCIA DA DOCAGEM"
"861","LOG_D200010","LOGÍSTICA_CONTINGENCIA RECEBIMENTO DA SONDA"
"862","LOG_C200000","LOGÍSTICA_COP - TH"
"863","LOG_C200001","LOGÍSTICA_COP - TH (CONTINUACAO)"
"864","LOG_P300780","LOGÍSTICA_CRAVAMENTO CONDUTOR 30"""
"865","LOG_D01123","LOGÍSTICA_CRAVAMENTO CONDUTOR 30"""
"866","LOG_P300790","LOGÍSTICA_CRAVAMENTO CONDUTOR 36"""
"867","LOG_P300740","LOGÍSTICA_CRAVAMENTO CONDUTOR 42"""
"868","LOG_E01450","LOGÍSTICA_DESCIDA BOP"
"869","LOG_D01590","LOGÍSTICA_DESCIDA DA ANMH"
"870","LOG_D01450","LOGÍSTICA_DESCIDA DA BAP"
"871","LOG_D01680","LOGÍSTICA_DESCIDA DA BAP"
"872","LOG_D03150","LOGÍSTICA_DESCIDA DA BAP"
"873","LOG_D01580D10","LOGÍSTICA_DESCIDA DA BAP"
"874","LOG_P600160","LOGÍSTICA_DESCIDA DA BAP DT"
"875","LOG_D01580","LOGÍSTICA_DESCIDA DA BAP/BOP"
"876","LOG_D01290","LOGÍSTICA_DESCIDA DA BAP/BOP"
"877","LOG_D01580D","LOGÍSTICA_DESCIDA DA BAP/BOP"
"878","LOG_D03000","LOGÍSTICA_DESCIDA DA BAP/BOP"
"879","LOG_D01460","LOGÍSTICA_DESCIDA DA BAP/BOP"
"880","LOG_E01606","LOGÍSTICA_DESCIDA DA BAP/BOP"
"881","LOG_E01451","LOGÍSTICA_DESCIDA DA BAP/BOP 2 (REPARO BOP)"
"882","LOG_R100191","LOGÍSTICA_DESCIDA DE BOP"
"883","LOG_C100921","LOGÍSTICA_DESCIDA DE COLUNA COM DST CONVENCIONAL"
"884","LOG_A100210","LOGÍSTICA_DESCIDA DE COLUNA COM DST CONVENCIONAL"
"885","LOG_A100220","LOGÍSTICA_DESCIDA DE COLUNA COM DST DE ALTO DESEMPENHO"
"886","LOG_C100922","LOGÍSTICA_DESCIDA DE COLUNA COM DST DE ALTO DESEMPENHO"
"887","LOG_A100230","LOGÍSTICA_DESCIDA DE COLUNA COM DST LARGE BORE"
"888","LOG_C100923","LOGÍSTICA_DESCIDA DE COLUNA COM DST LARGE BORE"
"889","LOG_C200061","LOGÍSTICA_DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO CONVENCIONAL"
"890","LOG_R100861","LOGÍSTICA_DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO CONVENCIONAL"
"891","LOG_C200071","LOGÍSTICA_DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO CONVENCIONAL 2"
"892","LOG_C200062","LOGÍSTICA_DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO DE ALTO DESEMPENHO"
"893","LOG_R100862","LOGÍSTICA_DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO DE ALTO DESEMPENHO"
"894","LOG_C200072","LOGÍSTICA_DESCIDA DE VALVULA DE FECHAMENTO DE FUNDO DE ALTO DESEMPENHO 2"
"895","LOG_D01280","LOGÍSTICA_DESCIDA DO BOP"
"896","LOG_D01606","LOGÍSTICA_DESCIDA DO BOP"
"897","LOG_E01280","LOGÍSTICA_DESCIDA DO BOP"
"898","LOG_D03080","LOGÍSTICA_DESCIDA DO BOP"
"899","LOG_D01581","LOGÍSTICA_DESCIDA DO BOP"
"900","LOG_D01281","LOGÍSTICA_DESCIDA DO BOP"
"901","LOG_D01280D","LOGÍSTICA_DESCIDA DO BOP"
"902","LOG_E01581","LOGÍSTICA_DESCIDA DO BOP"
"903","LOG_E01281","LOGÍSTICA_DESCIDA DO BOP"
"904","LOG_D01451","LOGÍSTICA_DESCIDA DO BOP"
"905","LOG_R101420","LOGÍSTICA_DESEQUIPAR POCO"
"906","LOG_R100962","LOGÍSTICA_DISSOCIACAO DE HIDRATO 2"
"907","LOG_M100000","LOGÍSTICA_DMM"
"908","LOG_ABD01000","LOGÍSTICA_DMM"
"909","LOG_R01000","LOGÍSTICA_DMM"
"910","LOG_M100010","LOGÍSTICA_DMM 2"
"911","LOG_R01001","LOGÍSTICA_DMM 2"
"912","LOG_SER0100","LOGÍSTICA_DMM 2"
"913","LOG_ABD01005","LOGÍSTICA_DMM 2"
"914","LOG_M100020","LOGÍSTICA_DMM 3"
"915","LOG_M100030","LOGÍSTICA_DMM 4"
"916","LOG_M100040","LOGÍSTICA_DMM 5"
"917","LOG_M100050","LOGÍSTICA_DMM 6"
"918","LOG_M300000","LOGÍSTICA_DMM E ABANDONO"
"919","LOG_D100000","LOGÍSTICA_DOCAGEM DA SONDA"
"920","LOG_S400000","LOGÍSTICA_DURACAO AVALIACAO"
"921","LOG_S500000","LOGÍSTICA_DURACAO COMPLETACAO"
"922","LOG_S500030","LOGÍSTICA_DURACAO COMPLETACAO (ANM + TREE CAP)"
"923","LOG_S500010","LOGÍSTICA_DURACAO COMPLETACAO (ATE TH)"
"924","LOG_S500020","LOGÍSTICA_DURACAO COMPLETACAO SUPERIOR + AVALIACAO"
"925","LOG_S300000","LOGÍSTICA_DURACAO PERFURACAO"
"926","LOG_S300010","LOGÍSTICA_DURACAO PERFURACAO (CONTINUACAO)"
"927","LOG_S300020","LOGÍSTICA_DURACAO PERFURACAO UBD"
"928","LOG_R100900","LOGÍSTICA_ENCAMISAR DHSV"
"929","LOG_D09100","LOGÍSTICA_EQUIPAMENTOS DE COMPLETACAO INFERIOR"
"930","LOG_D01010","LOGÍSTICA_FASE ABANDONADA"
"931","LOG_R101480","LOGÍSTICA_FINAL DA OPERACAO"
"932","LOG_O100130","LOGÍSTICA_FINAL DA OPERACAO"
"933","LOG_C200081","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE CONVENCIONAL"
"934","LOG_C100911","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE CONVENCIONAL"
"935","LOG_A100110","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE CONVENCIONAL"
"936","LOG_R100821","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE CONVENCIONAL"
"937","LOG_A100120","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"938","LOG_C200082","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"939","LOG_C100912","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"940","LOG_R100822","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"941","LOG_A100130","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"942","LOG_C100913","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"943","LOG_C200083","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"944","LOG_R100823","LOGÍSTICA_FLUXOS E ESTATICAS COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"945","LOG_C200084","LOGÍSTICA_FLUXOS E ESTATICAS SEM PLANTA DE TESTE"
"946","LOG_R100824","LOGÍSTICA_FLUXOS E ESTATICAS SEM PLANTA DE TESTE"
"947","LOG_R101140","LOGÍSTICA_FRAC-PACKING"
"948","LOG_R101120","LOGÍSTICA_FRATURAMENTO"
"949","LOG_A100460","LOGÍSTICA_FRATURAMENTO ACIDO"
"950","LOG_A100520","LOGÍSTICA_FRATURAMENTO ACIDO"
"951","LOG_C100120","LOGÍSTICA_FRATURAMENTO ACIDO"
"952","LOG_A100450","LOGÍSTICA_FRATURAMENTO HIDRAULICO"
"953","LOG_A100510","LOGÍSTICA_FRATURAMENTO HIDRAULICO"
"954","LOG_C100110","LOGÍSTICA_FRATURAMENTO HIDRAULICO"
"955","LOG_R100100","LOGÍSTICA_GABARITAGEM DA COP"
"956","LOG_R100050","LOGÍSTICA_HEAVY WORKOVER PROBABILISTICO"
"957","LOG_R100034","LOGÍSTICA_HEAVY WORKOVER SEM ESCOPO"
"958","LOG_O100090","LOGÍSTICA_ICAMENTO"
"959","LOG_C200050","LOGÍSTICA_INDUCAO DE SURGENCIA"
"960","LOG_R100800","LOGÍSTICA_INDUCAO DE SURGENCIA"
"961","LOG_D03600","LOGÍSTICA_INDUCAO DE SURGENCIA"
"962","LOG_D03450","LOGÍSTICA_INDUCAO DE SURGENCIA"
"963","LOG_C200051","LOGÍSTICA_INDUCAO DE SURGENCIA COM PLANTA DE TESTE CONVENCIONAL"
"964","LOG_R100801","LOGÍSTICA_INDUCAO DE SURGENCIA COM PLANTA DE TESTE CONVENCIONAL"
"965","LOG_C200052","LOGÍSTICA_INDUCAO DE SURGENCIA COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"966","LOG_R100802","LOGÍSTICA_INDUCAO DE SURGENCIA COM PLANTA DE TESTE DE ALTO DESEMPENHO"
"967","LOG_C200053","LOGÍSTICA_INDUCAO DE SURGENCIA COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"968","LOG_R100803","LOGÍSTICA_INDUCAO DE SURGENCIA COM PLANTA DE TESTE TOLERANTE A SOLIDOS"
"969","LOG_R100804","LOGÍSTICA_INDUCAO DE SURGENCIA SEM PLANTA DE TESTE"
"970","LOG_C200054","LOGÍSTICA_INDUCAO DE SURGENCIA SEM PLANTA DE TESTE"
"971","LOG_R100110","LOGÍSTICA_INSTALACAO BRV"
"972","LOG_R100300","LOGÍSTICA_INSTALACAO DA ANC"
"973","LOG_R100240","LOGÍSTICA_INSTALACAO DA ANM"
"974","LOG_O100010","LOGÍSTICA_INSTALACAO DA BAB"
"975","LOG_R100460","LOGÍSTICA_INSTALACAO DA BAP"
"976","LOG_R100620","LOGÍSTICA_INSTALACAO DA BCS"
"977","LOG_R100600","LOGÍSTICA_INSTALACAO DA BCSS"
"978","LOG_R02711","LOGÍSTICA_INSTALACAO DA BCSS (CONTINUACAO)"
"979","LOG_R101260","LOGÍSTICA_INSTALACAO DA CA (GRAVEL HRWP FRAC)"
"980","LOG_R101280","LOGÍSTICA_INSTALACAO DA CAUDA"
"981","LOG_R100140","LOGÍSTICA_INSTALACAO DA COP"
"982","LOG_O100030","LOGÍSTICA_INSTALACAO DA ESTACA DE ANCORAGEM"
"983","LOG_R100340","LOGÍSTICA_INSTALACAO DA TREE CAP"
"984","LOG_R02890","LOGÍSTICA_INSTALACAO DA TREE CAP"
"985","LOG_R100470","LOGÍSTICA_INSTALACAO DE BARREIRAS MECANICAS"
"986","LOG_R101333","LOGÍSTICA_INSTALACAO DE BARREIRAS MECANICAS"
"987","LOG_O100200","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"988","LOG_O100201","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"989","LOG_O100202","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"990","LOG_O100203","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"991","LOG_O100204","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"992","LOG_O100205","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"993","LOG_O100206","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"994","LOG_O100207","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"995","LOG_O100208","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"996","LOG_O100209","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"997","LOG_O100210","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"998","LOG_O100211","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"999","LOG_O100212","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"1000","LOG_O100213","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"1001","LOG_O100214","LOGÍSTICA_INSTALACAO DE BASE REASSENTAVEL"
"1002","LOG_R101390","LOGÍSTICA_INSTALACAO DE CATS"
"1003","LOG_A100600","LOGÍSTICA_INSTALACAO DE CATS"
"1004","LOG_A300000","LOGÍSTICA_INSTALACAO DE CATS"
"1005","LOG_C100200","LOGÍSTICA_INSTALACAO DE CATS"
"1006","LOG_O100015","LOGÍSTICA_INSTALACAO DE LDB"
"1007","LOG_C100015","LOGÍSTICA_INSTALACAO DE LDB"
"1008","LOG_P300800","LOGÍSTICA_INSTALACAO DE REGISTRADOR DE PRESSAO"
"1009","LOG_R101300","LOGÍSTICA_INSTALACAO DO BPP/CR A CABO"
"1010","LOG_R101320","LOGÍSTICA_INSTALACAO DO BPP/CR INFLAVEL FLEXITUBO"
"1011","LOG_O100070","LOGÍSTICA_INSTALACAO DO MANIFOLD"
"1012","LOG_O100000","LOGÍSTICA_INSTALACAO DO MOBO"
"1013","LOG_O100000-2","LOGÍSTICA_INSTALACAO DO MOBO PROD O JUB"
"1014","LOG_SER0015","LOGÍSTICA_INSTALACAO DO MOBO PROD O JUB"
"1015","LOG_R101340","LOGÍSTICA_INSTALACAO DO PACKER DE ABANDONO"
"1016","LOG_R101330","LOGÍSTICA_INSTALACAO DO PLUG"
"1017","LOG_R101335","LOGÍSTICA_INSTALACAO DO PLUG 2"
"1018","LOG_O100120","LOGÍSTICA_INSTALACAO DO VASPS"
"1019","LOG_R100910","LOGÍSTICA_INSTALAR DHSV"
"1020","LOG_P700130","LOGÍSTICA_INTERCEPTACAO"
"1021","LOG_R101100","LOGÍSTICA_ISOLAMENTO DE ZONA"
"1022","LOG_J100000","LOGÍSTICA_JANELA DA SONDA"
"1023","LOG_P300760","LOGÍSTICA_JATEAMENTO 30"""
"1024","LOG_P300110","LOGÍSTICA_JATEAMENTO 30""/REV 30"""
"1025","LOG_D01121","LOGÍSTICA_JATEAMENTO 30""/REV 30"""
"1026","LOG_D01124","LOGÍSTICA_JATEAMENTO 30""/REV 30"""
"1027","LOG_P300750","LOGÍSTICA_JATEAMENTO 36"""
"1028","LOG_D01095","LOGÍSTICA_JATEAMENTO 42"""
"1029","LOG_P300730","LOGÍSTICA_JATEAMENTO 42""/TUBULAO 42"""
"1030","LOG_P300720","LOGÍSTICA_JATEAMENTO 46"""
"1031","LOG_O100060","LOGÍSTICA_LANCAMENTO DE MANIFOLD"
"1032","LOG_O100050","LOGÍSTICA_LANCAMENTO DE PLATAFORMA"
"1033","LOG_R100045","LOGÍSTICA_LIGHT WORKOVER PROBABILISTICO"
"1034","LOG_R100032","LOGÍSTICA_LIGHT WORKOVER SEM ESCOPO"
"1035","LOG_R100880","LOGÍSTICA_LIMPEZA DE FUNDO"
"1036","LOG_R100890","LOGÍSTICA_LIMPEZA DE LINHA"
"1037","LOG_R02685","LOGÍSTICA_LIMPEZA FLOWLINE E PREVENCAO DE HIDRATO"
"1038","LOG_R101380","LOGÍSTICA_MANUTENCAO DO MOBO"
"1039","LOG_P900110","LOGÍSTICA_MICROFRATURAMENTO POCO ABERTO"
"1040","LOG_C100150","LOGÍSTICA_MICROFRATURAMENTO POCO ABERTO"
"1041","LOG_P900100","LOGÍSTICA_MICROFRATURAMENTO POCO REVESTIDO"
"1042","LOG_C100140","LOGÍSTICA_MICROFRATURAMENTO POCO REVESTIDO"
"1043","LOG_R101370","LOGÍSTICA_MOBO SEM ESCOPO"
"1044","LOG_DOC0001","LOGÍSTICA_MSI MRL-4"
"1045","LOG_R02980","LOGÍSTICA_MSPI"
"1046","LOG_P500100","LOGÍSTICA_OPERACAO COM BAP/BOP"
"1047","LOG_C100000","LOGÍSTICA_OPERACAO COM BAP/BOP"
"1048","LOG_R100190","LOGÍSTICA_OPERACAO COM BAP/BOP"
"1049","LOG_R100195","LOGÍSTICA_OPERACAO COM BAP/BOP 2"
"1050","LOG_P500110","LOGÍSTICA_OPERACAO COM BAP/BOP 2"
"1051","LOG_C100010","LOGÍSTICA_OPERACAO COM BAP/BOP 2"
"1052","LOG_P500120","LOGÍSTICA_OPERACAO COM BAP/BOP 3"
"1053","LOG_C100020","LOGÍSTICA_OPERACAO COM BAP/BOP 3"
"1054","LOG_R100196","LOGÍSTICA_OPERACAO COM BAP/BOP 3"
"1055","LOG_P500130","LOGÍSTICA_OPERACAO COM BAP/BOP 4"
"1056","LOG_R100197","LOGÍSTICA_OPERACAO COM BAP/BOP 4"
"1057","LOG_P500140","LOGÍSTICA_OPERACAO COM BAP/BOP 5"
"1058","LOG_P500150","LOGÍSTICA_OPERACAO COM BAP/BOP 6"
"1059","LOG_P800100","LOGÍSTICA_OPERACAO COM BOP/ANMH"
"1060","LOG_R100720","LOGÍSTICA_PERFILAGEM"
"1061","LOG_P200250","LOGÍSTICA_PERFILAGEM 10 5/8"""
"1062","LOG_P200240","LOGÍSTICA_PERFILAGEM 10 5/8"" FINAL"
"1063","LOG_P200230","LOGÍSTICA_PERFILAGEM 10 5/8"" X 12 1/4"""
"1064","LOG_P200180","LOGÍSTICA_PERFILAGEM 12 1/4"""
"1065","LOG_D01530","LOGÍSTICA_PERFILAGEM 12 1/4"""
"1066","LOG_P200210","LOGÍSTICA_PERFILAGEM 12 1/4"" FINAL"
"1067","LOG_D01536","LOGÍSTICA_PERFILAGEM 12 1/4"" FINAL"
"1068","LOG_P200200","LOGÍSTICA_PERFILAGEM 12 1/4"" INTERMEDIARIA"
"1069","LOG_P200190","LOGÍSTICA_PERFILAGEM 12 1/4"" PILOTO"
"1070","LOG_P200220","LOGÍSTICA_PERFILAGEM 12 3/4"""
"1071","LOG_P200170","LOGÍSTICA_PERFILAGEM 14 3/4"""
"1072","LOG_D01540","LOGÍSTICA_PERFILAGEM 14 3/4"""
"1073","LOG_P200160","LOGÍSTICA_PERFILAGEM 14"""
"1074","LOG_P200140","LOGÍSTICA_PERFILAGEM 16 1/2"""
"1075","LOG_P200145","LOGÍSTICA_PERFILAGEM 16 1/2"" FINAL"
"1076","LOG_P200150","LOGÍSTICA_PERFILAGEM 16"""
"1077","LOG_D01390","LOGÍSTICA_PERFILAGEM 16"""
"1078","LOG_P200130","LOGÍSTICA_PERFILAGEM 17 1/2"""
"1079","LOG_D01320","LOGÍSTICA_PERFILAGEM 17 1/2"""
"1080","LOG_P200135","LOGÍSTICA_PERFILAGEM 17 1/2"" FINAL"
"1081","LOG_P200110","LOGÍSTICA_PERFILAGEM 18 1/2"""
"1082","LOG_P200120","LOGÍSTICA_PERFILAGEM 18 1/8"""
"1083","LOG_P200100","LOGÍSTICA_PERFILAGEM 22"""
"1084","LOG_P200380","LOGÍSTICA_PERFILAGEM 5 7/8"""
"1085","LOG_P200360","LOGÍSTICA_PERFILAGEM 6 1/8"""
"1086","LOG_P200370","LOGÍSTICA_PERFILAGEM 6"""
"1087","LOG_P200320","LOGÍSTICA_PERFILAGEM 8 1/2"""
"1088","LOG_D01630","LOGÍSTICA_PERFILAGEM 8 1/2"""
"1089","LOG_D01634","LOGÍSTICA_PERFILAGEM 8 1/2"""
"1090","LOG_D01634-A","LOGÍSTICA_PERFILAGEM 8 1/2"""
"1091","LOG_P200350","LOGÍSTICA_PERFILAGEM 8 1/2"" FINAL"
"1092","LOG_P200340","LOGÍSTICA_PERFILAGEM 8 1/2"" INTERMEDIARIA"
"1093","LOG_E01600PE","LOGÍSTICA_PERFILAGEM 8 1/2"" INTERMEDIARIA"
"1094","LOG_D01634PI","LOGÍSTICA_PERFILAGEM 8 1/2"" INTERMEDIARIA"
"1095","LOG_P200320PI","LOGÍSTICA_PERFILAGEM 8 1/2"" INTERMEDIARIA"
"1096","LOG_P200330","LOGÍSTICA_PERFILAGEM 8 1/2"" PILOTO"
"1097","LOG_P200300","LOGÍSTICA_PERFILAGEM 8 3/4"""
"1098","LOG_P200310","LOGÍSTICA_PERFILAGEM 8 3/4"" FINAL"
"1099","LOG_P200260","LOGÍSTICA_PERFILAGEM 9 1/2"""
"1100","LOG_D01640","LOGÍSTICA_PERFILAGEM 9 1/2"""
"1101","LOG_P200270","LOGÍSTICA_PERFILAGEM 9"""
"1102","LOG_P200290","LOGÍSTICA_PERFILAGEM 9"" FINAL"
"1103","LOG_P200280","LOGÍSTICA_PERFILAGEM 9"" INTERMEDIARIA"
"1104","LOG_A100140","LOGÍSTICA_PERFILAGEM DE PRODUCAO"
"1105","LOG_C200150","LOGÍSTICA_PERFILAGEM DE PRODUCAO"
"1106","LOG_R100740","LOGÍSTICA_PERFILAGEM DE PRODUCAO"
"1107","LOG_P200400","LOGÍSTICA_PERFILAGEM DESVIO 12 1/4"""
"1108","LOG_D01530D","LOGÍSTICA_PERFILAGEM DESVIO 12 1/4"""
"1109","LOG_P200390","LOGÍSTICA_PERFILAGEM DESVIO 14 3/4"""
"1110","LOG_D01540D","LOGÍSTICA_PERFILAGEM DESVIO 14 3/4"""
"1111","LOG_E01511PERFIL","LOGÍSTICA_PERFILAGEM INTERMEDIARIA 12 1/4"""
"1112","LOG_D01510PERFIL","LOGÍSTICA_PERFILAGEM INTERMEDIARIA 12 1/4"""
"1113","LOG_D01635","LOGÍSTICA_PERFILAGEM PILOTO 8 1/2"""
"1114","LOG_R100760","LOGÍSTICA_PERFILAGEM PLT"
"1115","LOG_P100550","LOGÍSTICA_PERFURACAO 10 5/8"""
"1116","LOG_P100540","LOGÍSTICA_PERFURACAO 10 5/8"" COM ALARGADOR 12 1/4"""
"1117","LOG_P200540","LOGÍSTICA_PERFURACAO 10 5/8"" X 12 1/4"""
"1118","LOG_D01520","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"""
"1119","LOG_D01521","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 14"""
"1120","LOG_D01426","LOGÍSTICA_PERFURACAO 12 1/4 COM ALARGADOR 16"""
"1121","LOG_P100470","LOGÍSTICA_PERFURACAO 12 1/4"""
"1122","LOG_D01510","LOGÍSTICA_PERFURACAO 12 1/4"""
"1123","LOG_P01510","LOGÍSTICA_PERFURACAO 12 1/4"""
"1124","LOG_P100440","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"""
"1125","LOG_P100450","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"" FINAL"
"1126","LOG_P100440PF","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"" FINAL"
"1127","LOG_D01520PF","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"" FINAL"
"1128","LOG_P100460","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 14"""
"1129","LOG_P100430","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 16"""
"1130","LOG_P100400","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 17 1/2"""
"1131","LOG_P100420","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 17 1/2"" FINAL"
"1132","LOG_P100400PF","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 17 1/2"" FINAL"
"1133","LOG_P100410","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 17 1/2"" PILOTO"
"1134","LOG_D01345","LOGÍSTICA_PERFURACAO 12 1/4"" COM ALARGADOR 22"""
"1135","LOG_P100520","LOGÍSTICA_PERFURACAO 12 1/4"" COM TESTEMUNHAGEM"
"1136","LOG_D01511","LOGÍSTICA_PERFURACAO 12 1/4"" COM TESTEMUNHAGEM 12 1/4"""
"1137","LOG_D01510C","LOGÍSTICA_PERFURACAO 12 1/4"" CONTINUACAO"
"1138","LOG_D01510DES","LOGÍSTICA_PERFURACAO 12 1/4"" DESVIO"
"1139","LOG_P100510","LOGÍSTICA_PERFURACAO 12 1/4"" FINAL"
"1140","LOG_P100500","LOGÍSTICA_PERFURACAO 12 1/4"" INTERMEDIARIA"
"1141","LOG_P100480","LOGÍSTICA_PERFURACAO 12 1/4"" PILOTO"
"1142","LOG_D01513","LOGÍSTICA_PERFURACAO 12 1/4"" PILOTO"
"1143","LOG_P100490","LOGÍSTICA_PERFURACAO 12 1/4"" PILOTO FINAL"
"1144","LOG_D01518","LOGÍSTICA_PERFURACAO 12 1/4"" PILOTO FINAL"
"1145","LOG_P100530","LOGÍSTICA_PERFURACAO 12 3/4"""
"1146","LOG_D01503","LOGÍSTICA_PERFURACAO 14 1/4"""
"1147","LOG_P100370","LOGÍSTICA_PERFURACAO 14 3/4"""
"1148","LOG_D01500","LOGÍSTICA_PERFURACAO 14 3/4"""
"1149","LOG_P10037010","LOGÍSTICA_PERFURACAO 14 3/4"""
"1150","LOG_P100357","LOGÍSTICA_PERFURACAO 14 3/4"" COM ALARGADOR 16 1/2"""
"1151","LOG_P100355","LOGÍSTICA_PERFURACAO 14 3/4"" COM ALARGADOR 16"""
"1152","LOG_P100360","LOGÍSTICA_PERFURACAO 14 3/4"" COM ALARGADOR 17 1/2"""
"1153","LOG_D01365","LOGÍSTICA_PERFURACAO 14 3/4"" COM ALARGADOR 17 1/2"""
"1154","LOG_E01365","LOGÍSTICA_PERFURACAO 14 3/4"" COM ALARGADOR 17 1/2"""
"1155","LOG_D01400","LOGÍSTICA_PERFURACAO 14 3/4"" COM ALARGADOR 17 1/2"""
"1156","LOG_P100390","LOGÍSTICA_PERFURACAO 14 3/4"" FINAL"
"1157","LOG_D01533","LOGÍSTICA_PERFURACAO 14 3/4"" FINAL"
"1158","LOG_P100380","LOGÍSTICA_PERFURACAO 14 3/4"" PILOTO"
"1159","LOG_D01505","LOGÍSTICA_PERFURACAO 14 3/4"" PILOTO"
"1160","LOG_P100330","LOGÍSTICA_PERFURACAO 16 1/2"""
"1161","LOG_P100315","LOGÍSTICA_PERFURACAO 16 1/2"" COM ALARGADOR 18"""
"1162","LOG_P100320","LOGÍSTICA_PERFURACAO 16 1/2"" COM ALARGADOR 20"""
"1163","LOG_P100335","LOGÍSTICA_PERFURACAO 16 1/2"" FINAL"
"1164","LOG_P100340","LOGÍSTICA_PERFURACAO 16"""
"1165","LOG_D01380","LOGÍSTICA_PERFURACAO 16"""
"1166","LOG_E01349","LOGÍSTICA_PERFURACAO 16"" COM ALARGADOR 17 1/2"""
"1167","LOG_P100345","LOGÍSTICA_PERFURACAO 16"" COM ALARGADOR 17 1/2"""
"1168","LOG_P100350","LOGÍSTICA_PERFURACAO 16"" FINAL"
"1169","LOG_D01392","LOGÍSTICA_PERFURACAO 16"" FINAL"
"1170","LOG_P100300","LOGÍSTICA_PERFURACAO 17 1/2"""
"1171","LOG_D01300","LOGÍSTICA_PERFURACAO 17 1/2"""
"1172","LOG_P100300REC","LOGÍSTICA_PERFURACAO 17 1/2"""
"1173","LOG_D01310","LOGÍSTICA_PERFURACAO 17 1/2"""
"1174","LOG_P100225","LOGÍSTICA_PERFURACAO 17 1/2"" COM ALARGADOR 19 1/2"""
"1175","LOG_P100230","LOGÍSTICA_PERFURACAO 17 1/2"" COM ALARGADOR 20"""
"1176","LOG_P100270","LOGÍSTICA_PERFURACAO 17 1/2"" COM ALARGADOR 22"""
"1177","LOG_D01315","LOGÍSTICA_PERFURACAO 17 1/2"" COM ALARGADOR 22"""
