"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"1338","LOG_R100090","LOGÍSTICA_RETIRADA DE PLUG"
"1339","LOG_D03310","LOGÍSTICA_RETIRADA DE PLUG"
"1340","LOG_R100095","LOGÍSTICA_RETIRADA DE PLUG 2"
"1341","LOG_D03070","LOGÍSTICA_RETIRADA DO BOP"
"1342","LOG_D01541","LOGÍSTICA_RETIRADA DO BOP"
"1343","LOG_P300340","LOGÍSTICA_REV/CIM 10 3/4"""
"1344","LOG_D01560","LOGÍSTICA_REV/CIM 10 3/4"""
"1345","LOG_D01559","LOGÍSTICA_REV/CIM 10 3/4"""
"1346","LOG_P300370","LOGÍSTICA_REV/CIM 10 3/4"" E 9 5/8"""
"1347","LOG_D01570","LOGÍSTICA_REV/CIM 10 3/4"" E 9 5/8"""
"1348","LOG_P300360","LOGÍSTICA_REV/CIM 10 3/4"" E 9 7/8"""
"1349","LOG_P300400","LOGÍSTICA_REV/CIM 10 3/4"" E LINER 7"""
"1350","LOG_P300395","LOGÍSTICA_REV/CIM 10 3/4"" E LINER 9 5/8"""
"1351","LOG_P300390","LOGÍSTICA_REV/CIM 10 3/4"" E LINER 9 7/8"""
"1352","LOG_P300350","LOGÍSTICA_REV/CIM 10 3/4"" 9 7/8"" E 9 5/8"""
"1353","LOG_P300300","LOGÍSTICA_REV/CIM 11 3/4"""
"1354","LOG_D01557","LOGÍSTICA_REV/CIM 11 3/4"""
"1355","LOG_P300320","LOGÍSTICA_REV/CIM 11 3/4"" E 13 3/8"""
"1356","LOG_P300310","LOGÍSTICA_REV/CIM 11 3/4"" E 13 5/8"""
"1357","LOG_P300290","LOGÍSTICA_REV/CIM 11 7/8"""
"1358","LOG_P300292","LOGÍSTICA_REV/CIM 11 7/8"" E 9 7/8"""
"1359","LOG_P300270","LOGÍSTICA_REV/CIM 13 3/8"""
"1360","LOG_D01410","LOGÍSTICA_REV/CIM 13 3/8"""
"1361","LOG_P300250","LOGÍSTICA_REV/CIM 13 5/8"""
"1362","LOG_D01405","LOGÍSTICA_REV/CIM 13 5/8"""
"1363","LOG_P300265","LOGÍSTICA_REV/CIM 13 5/8"" E 10 3/4"""
"1364","LOG_P300260","LOGÍSTICA_REV/CIM 13 5/8"" E 13 3/8"""
"1365","LOG_P300210","LOGÍSTICA_REV/CIM 14"""
"1366","LOG_P300225","LOGÍSTICA_REV/CIM 14"" + TIE BACK 13 5/8"""
"1367","LOG_P300230","LOGÍSTICA_REV/CIM 14"" E 13 3/8"""
"1368","LOG_P300220","LOGÍSTICA_REV/CIM 14"" E 13 5/8"""
"1369","LOG_P300240","LOGÍSTICA_REV/CIM 14"" 13 5/8"" E 13 3/8"""
"1370","LOG_D01413","LOGÍSTICA_REV/CIM 14"" 13 5/8"" E 13 3/8"""
"1371","LOG_P300200","LOGÍSTICA_REV/CIM 16"""
"1372","LOG_D01370","LOGÍSTICA_REV/CIM 16"""
"1373","LOG_P300170","LOGÍSTICA_REV/CIM 18"""
"1374","LOG_P300150","LOGÍSTICA_REV/CIM 20"""
"1375","LOG_D01240","LOGÍSTICA_REV/CIM 20"""
"1376","LOG_P300160","LOGÍSTICA_REV/CIM 20"" E 16"""
"1377","LOG_D01241","LOGÍSTICA_REV/CIM 20"" E 16"""
"1378","LOG_P300155","LOGÍSTICA_REV/CIM 20"" E 18"""
"1379","LOG_P300140","LOGÍSTICA_REV/CIM 22"""
"1380","LOG_P300145","LOGÍSTICA_REV/CIM 22"" E 20"""
"1381","LOG_P300130","LOGÍSTICA_REV/CIM 28"""
"1382","LOG_P300120","LOGÍSTICA_REV/CIM 30"""
"1383","LOG_D01140","LOGÍSTICA_REV/CIM 30"""
"1384","LOG_P300100","LOGÍSTICA_REV/CIM 36"""
"1385","LOG_P300520","LOGÍSTICA_REV/CIM 5 1/2"""
"1386","LOG_P300530","LOGÍSTICA_REV/CIM 5"""
"1387","LOG_P300480","LOGÍSTICA_REV/CIM 7"""
"1388","LOG_P300430","LOGÍSTICA_REV/CIM 9 5/8"""
"1389","LOG_D01550","LOGÍSTICA_REV/CIM 9 5/8"""
"1390","LOG_D01552","LOGÍSTICA_REV/CIM 9 5/8"" + TIE BACK"
"1391","LOG_P300435","LOGÍSTICA_REV/CIM 9 5/8"" FINAL"
"1392","LOG_P300420","LOGÍSTICA_REV/CIM 9 7/8"""
"1393","LOG_P300425","LOGÍSTICA_REV/CIM 9 7/8"" + TIE BACK"
"1394","LOG_P300410","LOGÍSTICA_REV/CIM 9 7/8"" E 9 5/8"""
"1395","LOG_D01568","LOGÍSTICA_REV/CIM 9 7/8"" E 9 5/8"""
"1396","LOG_P300415","LOGÍSTICA_REV/CIM 9 7/8"" E 9 5/8"" + TIE BACK"
"1397","LOG_P300630","LOGÍSTICA_REV/CIM DESVIO 10 3/4"""
"1398","LOG_D01560D","LOGÍSTICA_REV/CIM DESVIO 10 3/4"""
"1399","LOG_P300620","LOGÍSTICA_REV/CIM DESVIO 10 3/4"" E 9 5/8"""
"1400","LOG_D01553D","LOGÍSTICA_REV/CIM DESVIO 10 3/4"" E 9 5/8"""
"1401","LOG_P300570","LOGÍSTICA_REV/CIM DESVIO 13 3/8"""
"1402","LOG_P300580","LOGÍSTICA_REV/CIM DESVIO 13 3/8"" E 10 3/4"""
"1403","LOG_P300560","LOGÍSTICA_REV/CIM DESVIO 13 5/8"""
"1404","LOG_D01416D","LOGÍSTICA_REV/CIM DESVIO 13 5/8"""
"1405","LOG_P300590","LOGÍSTICA_REV/CIM DESVIO 13 5/8"" E 10 3/4"""
"1406","LOG_P300550","LOGÍSTICA_REV/CIM DESVIO 14"" E 10 3/4"""
"1407","LOG_P300650","LOGÍSTICA_REV/CIM DESVIO 9 5/8"""
"1408","LOG_D01550D","LOGÍSTICA_REV/CIM DESVIO 9 5/8"""
"1409","LOG_P300430D","LOGÍSTICA_REV/CIM DESVIO 9 5/8"""
"1410","LOG_P300640","LOGÍSTICA_REV/CIM DESVIO LINER 10 3/4"""
"1411","LOG_D01547D","LOGÍSTICA_REV/CIM DESVIO LINER 10 3/4"""
"1412","LOG_P300610","LOGÍSTICA_REV/CIM DESVIO LINER 13 3/8"""
"1413","LOG_D01545D","LOGÍSTICA_REV/CIM DESVIO LINER 13 3/8"""
"1414","LOG_P300600","LOGÍSTICA_REV/CIM DESVIO LINER 13 5/8"" E 10 3/4"""
"1415","LOG_D01571D","LOGÍSTICA_REV/CIM DESVIO LINER 13 5/8"" E 10 3/4"""
"1416","LOG_P300660","LOGÍSTICA_REV/CIM DESVIO LINER 9 5/8"""
"1417","LOG_D01551D","LOGÍSTICA_REV/CIM DESVIO LINER 9 5/8"""
"1418","LOG_D01569D","LOGÍSTICA_REV/CIM DESVIO LINER 9 5/8"""
"1419","LOG_P300380","LOGÍSTICA_REV/CIM LINER 10 3/4"""
"1420","LOG_P300381","LOGÍSTICA_REV/CIM LINER 10 3/4"" + TIE BACK"
"1421","LOG_P300375","LOGÍSTICA_REV/CIM LINER 10 3/4"" E 9 5/8"" + TIE BACK"
"1422","LOG_P300330","LOGÍSTICA_REV/CIM LINER 11 3/4"""
"1423","LOG_D01555","LOGÍSTICA_REV/CIM LINER 11 3/4"""
"1424","LOG_P300295","LOGÍSTICA_REV/CIM LINER 11 7/8"""
"1425","LOG_P300280","LOGÍSTICA_REV/CIM LINER 13 3/8"""
"1426","LOG_P300255","LOGÍSTICA_REV/CIM LINER 13 5/8"""
"1427","LOG_P300190","LOGÍSTICA_REV/CIM LINER 16"""
"1428","LOG_D01321","LOGÍSTICA_REV/CIM LINER 16"""
"1429","LOG_P300180","LOGÍSTICA_REV/CIM LINER 18"""
"1430","LOG_P300540","LOGÍSTICA_REV/CIM LINER 5 1/2"""
"1431","LOG_P300535","LOGÍSTICA_REV/CIM LINER 5"""
"1432","LOG_P300490","LOGÍSTICA_REV/CIM LINER 7 5/8"""
"1433","LOG_P300510","LOGÍSTICA_REV/CIM LINER 7"""
"1434","LOG_S300140","LOGÍSTICA_REV/CIM LINER 7"""
"1435","LOG_D01650","LOGÍSTICA_REV/CIM LINER 7"""
"1436","LOG_D01660","LOGÍSTICA_REV/CIM LINER 7"""
"1437","LOG_P300500","LOGÍSTICA_REV/CIM LINER 7"" PILOTO"
"1438","LOG_P300470","LOGÍSTICA_REV/CIM LINER 9 5/8"""
"1439","LOG_D01567","LOGÍSTICA_REV/CIM LINER 9 5/8"""
"1440","LOG_P300440","LOGÍSTICA_REV/CIM LINER 9 5/8"" + TIE BACK"
"1441","LOG_P300445","LOGÍSTICA_REV/CIM LINER 9 5/8"" + TIE BACK 10 3/4"""
"1442","LOG_P300460","LOGÍSTICA_REV/CIM LINER 9 7/8"""
"1443","LOG_P300465","LOGÍSTICA_REV/CIM LINER 9 7/8"" + TIE BACK"
"1444","LOG_P300467","LOGÍSTICA_REV/CIM LINER 9 7/8"" + TIE BACK 10 3/4"""
"1445","LOG_P300450","LOGÍSTICA_REV/CIM LINER 9 7/8"" E 9 5/8"""
"1446","LOG_P300455","LOGÍSTICA_REV/CIM LINER 9 7/8"" E 9 5/8"" + TIE BACK 10 3/4"""
"1447","LOG_D01648","LOGÍSTICA_REV/CIM PILOTO LINER 8 1/2"""
"1448","LOG_R101430","LOGÍSTICA_TAMPAO DE CIMENTO"
"1449","LOG_E01755","LOGÍSTICA_TCIM E ABANDONO"
"1450","LOG_C200060","LOGÍSTICA_TESTE DE FORMACAO COM VALVULA DE FECHAMENTO DE FUNDO"
"1451","LOG_R100860","LOGÍSTICA_TESTE DE FORMACAO COM VALVULA DE FECHAMENTO DE FUNDO"
"1452","LOG_C200070","LOGÍSTICA_TESTE DE FORMACAO COM VALVULA DE FECHAMENTO DE FUNDO 2"
"1453","LOG_C200090","LOGÍSTICA_TESTE DE INJETIVIDADE"
"1454","LOG_R100840","LOGÍSTICA_TESTE DE INJETIVIDADE"
"1455","LOG_C200095","LOGÍSTICA_TESTE DE INJETIVIDADE 2"
"1456","LOG_C200091","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST CONVENCIONAL"
"1457","LOG_R100841","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST CONVENCIONAL"
"1458","LOG_C200096","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST CONVENCIONAL 2"
"1459","LOG_C200092","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST DE ALTO DESEMPENHO"
"1460","LOG_R100842","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST DE ALTO DESEMPENHO"
"1461","LOG_C200097","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST DE ALTO DESEMPENHO 2"
"1462","LOG_C200093","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST LARGE BORE"
"1463","LOG_R100843","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST LARGE BORE"
"1464","LOG_C200098","LOGÍSTICA_TESTE DE INJETIVIDADE COM DST LARGE BORE 2"
"1465","LOG_C200094","LOGÍSTICA_TESTE DE INJETIVIDADE SEM DST"
"1466","LOG_R100844","LOGÍSTICA_TESTE DE INJETIVIDADE SEM DST"
"1467","LOG_C200099","LOGÍSTICA_TESTE DE INJETIVIDADE SEM DST 2"
"1468","LOG_C200080","LOGÍSTICA_TESTE DE PRODUCAO"
"1469","LOG_R100820","LOGÍSTICA_TESTE DE PRODUCAO"
"1470","LOG_A200000","LOGÍSTICA_TESTE DST"
"1471","LOG_C100900","LOGÍSTICA_TESTE DST"
"1472","LOG_D01608","LOGÍSTICA_TESTEMUNHAGEM"
"1473","LOG_P300680","LOGÍSTICA_TESTEMUNHAGEM 12 1/4"""
"1474","LOG_D01515","LOGÍSTICA_TESTEMUNHAGEM 12 1/4"""
"1475","LOG_P300685","LOGÍSTICA_TESTEMUNHAGEM 12 1/4"" FINAL"
"1476","LOG_P300670","LOGÍSTICA_TESTEMUNHAGEM 14 3/4"""
"1477","LOG_D01522","LOGÍSTICA_TESTEMUNHAGEM 14 3/4"""
"1478","LOG_P300690","LOGÍSTICA_TESTEMUNHAGEM 8 1/2"""
"1479","LOG_P300700","LOGÍSTICA_TESTEMUNHAGEM 8 1/2"" PILOTO"
"1480","LOG_D01645","LOGÍSTICA_TESTEMUNHAGEM PILOTO 8 1/2"""
"1481","LOG_A300500","LOGÍSTICA_TFR NA 2A ZONA"
"1482","LOG_A300510","LOGÍSTICA_TFR NA 3A ZONA"
"1483","LOG_R101080","LOGÍSTICA_TRATAMENTO QUIMICO"
"1484","LOG_C300010","LOGÍSTICA_TREE CAP"
"1485","LOG_D03910","LOGÍSTICA_TREE CAP"
"1486","LOG_R100260","LOGÍSTICA_TROCA DA ANC"
"1487","LOG_R100200","LOGÍSTICA_TROCA DA ANM"
"1488","LOG_R100200C","LOGÍSTICA_TROCA DA ANM (DESCER)"
"1489","LOG_R100420","LOGÍSTICA_TROCA DA BAP"
"1490","LOG_R100420A","LOGÍSTICA_TROCA DA BAP - CONTINUACAO"
"1491","LOG_R100560","LOGÍSTICA_TROCA DA BCS"
"1492","LOG_R100540","LOGÍSTICA_TROCA DA BCS PROBABILISTICA"
"1493","LOG_R100580","LOGÍSTICA_TROCA DA BCS PROBABILISTICA"
"1494","LOG_R100520","LOGÍSTICA_TROCA DA BCSS"
"1495","LOG_R100521","LOGÍSTICA_TROCA DA BCSS DO MOBO"
"1496","LOG_R100070","LOGÍSTICA_TROCA DA COP"
"1497","LOG_R100060","LOGÍSTICA_TROCA DA COP"
"1498","LOG_R101180","LOGÍSTICA_TROCA DA VGL"
"1499","LOG_R100340C","LOGÍSTICA_TROCA DA VGL - CONTINUACAO"
"1500","LOG_R100080","LOGÍSTICA_TROCA DE ACESSORIOS DA COP"
"1501","LOG_R100920","LOGÍSTICA_TROCA DE DHSV"
"1502","LOG_R101240","LOGÍSTICA_TROCA DE GRAVEL"
"1503","LOG_O100080","LOGÍSTICA_TROCA DE MODULOS DE VALVULAS"
"1504","LOG_R101000","LOGÍSTICA_TROCA DE SLIDING SLEEVES"
"1505","LOG_P400100","LOGÍSTICA_TUBULAO 20"""
"1506","LOG_R100030","LOGÍSTICA_WORKOVER SEM ESCOPO"
